Row,Temperature,Pressure,XgrGRT,XspssGRT,XprpGRT,XMgGRT,SiBT,xTiBT,XMgBT,SiMU,XabPLAG
Temperature,1,3.9611878133279e-18,-0.892636731965739,-0.507742534466893,0.889869086090147,0.902291975842115,-0.882349460247617,0.98530406944691,0.614126177885659,-0.427194659797696,0.677447711314169
Pressure,3.9611878133279e-18,1,0.191947361965977,-0.632815582790082,0.290002417224347,0.224712942745967,0.394391611077459,-0.0519581324850086,0.482782798682466,0.355593510790982,-0.299202212975229
XgrGRT,-0.892636731965739,0.191947361965977,1,0.438670453991775,-0.825273845725959,-0.855028606480632,0.952904915794191,-0.832099624679718,-0.659842797543906,0.313493393040456,-0.71290757787864
XspssGRT,-0.507742534466893,-0.632815582790082,0.438670453991775,1,-0.669172383392041,-0.621589610732353,0.283694017304641,-0.399254487551923,-0.788249131993471,-0.0761950345464726,-0.0278639179273505
XprpGRT,0.889869086090147,0.290002417224347,-0.825273845725959,-0.669172383392041,1,0.99613559720545,-0.720680876547817,0.822653395048348,0.878648095314503,-0.154097668209869,0.624994203907767
XMgGRT,0.902291975842115,0.224712942745967,-0.855028606480632,-0.621589610732353,0.99613559720545,1,-0.760867737216806,0.837359477105649,0.864762624624029,-0.185119972579338,0.654135299392974
SiBT,-0.882349460247617,0.394391611077459,0.952904915794191,0.283694017304641,-0.720680876547817,-0.760867737216806,1,-0.853752429224579,-0.471243478480178,0.413367185992175,-0.731054504479913
xTiBT,0.98530406944691,-0.0519581324850086,-0.832099624679718,-0.399254487551923,0.822653395048348,0.837359477105649,-0.853752429224579,1,0.489279136454547,-0.489142645380358,0.675876358789747
XMgBT,0.614126177885659,0.482782798682466,-0.659842797543906,-0.788249131993471,0.878648095314503,0.864762624624029,-0.471243478480178,0.489279136454547,1,0.0938283187010817,0.336114121198684
SiMU,-0.427194659797696,0.355593510790982,0.313493393040456,-0.0761950345464726,-0.154097668209869,-0.185119972579338,0.413367185992175,-0.489142645380358,0.0938283187010817,1,-0.21713601132043
XabPLAG,0.677447711314169,-0.299202212975229,-0.71290757787864,-0.0278639179273505,0.624994203907767,0.654135299392974,-0.731054504479913,0.675876358789747,0.336114121198684,-0.21713601132043,1
